EventId,EventTemplate
E1,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}}, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>"
E2,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
E3,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>"
E4,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide
E5,visible is <*>.time.showampm
E6,mVisiblity.getValue is <*>
E7,visible is <*>
E8,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>"", ws=<*>, uid=<*>, pid=<*>"
E9,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
E10,updateDimmedActivatedHideSensitive overlap:<*>
E11,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output
E12,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)"
E13,cancelAutohide
E14,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>"
E15,Destroying surface Surface(name=<*>) called by <*> <*> <*> android.view.IWindowSession$Stub.onTransact:<*> <*> android.os.Binder.execTransact:<*> <bottom of call stack> <bottom of call stack>
E16,Destroying surface Surface(name=<*>) called by <*> <*> <*> <*> <*> <*> <*>
E17,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>"
E18,"orientation change is complete, call stopFreezingDisplayLocked"
E19,Screen frozen for +<*> due to Window{<*> <*>}
E20,startAnimation begin
E21,startAnimation end
E22,remove(PendingIntent{<*>: PendingIntentRecord{<*> com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching
E23,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED"
E24,"Application requested orientation <*>, got rotation <*> which has compatible metrics"
E25,shouldBlockLocation running ...
E26,shouldBlockLocation ret:<*>
E27,getNeighboringCellInfo calling app is <*>
E28,Releasing suspend blocker <*>.
E29,HBM brightnessIn =<*>
E30,HBM brightnessOut =<*>
E31,"Animating brightness: target=<*>, rate=<*>"
E32,suspendAutohide
E33,interceptKeyTq keycode=<*> interactive=<*> keyguardActive=<*> policyFlags=<*> down <*> canceled <*>
E34,"interceptKeyBeforeQueueing: key <*> , result : <*>"
E35,resumeSuspendedAutohide
E36,querySoundEffectsEnabled...
E37,Acquiring suspend blocker <*>.
E38,Bad activity token: <*>
E39,java.lang.ClassCastException: android.os.BinderProxy cannot be cast to com.android.server.am.ActivityRecord$Token
E40,"onTouchEvent::<*>, x=<*>, y=<*>"
E41,schedulePeek
E42,getRingtonePlayer...
E43,disable: < expand <*> alerts <*> back home recent clock navigationbar search quick_settings >
E44,"updateLightsLocked,mInCall =<*>,mScreenOn = <*>,ledNotification == <*>"
E45,"updateLightsLocked,turn off notificationLight"
E46,"overlapAmount:<*>, previousNotificationEnd:<*>, newYTranslation:<*>, location:<*>, i:<*>, getTopPadding:<*>, getLocationOnScreen():<*>"
E47,"state.clipTopAmount:<*>, i:<*>"
E48,onExpandingStarted
E49,onTrackingStarted
E50,cancelPeek: <*>
E51,"flingToHeight: vel=<*>, expand=<*>, target=<*>, collapseSpeedUpFactor=<*>, expandBecauseOfFalsing=<*>"
E52,onTrackingStopped: <*>
E53,onExpandingFinished
E54,Sending non-protected broadcast <*> from system <*> pkg <*>
E55,logNotificationVisibilityChanges runInThread start
E56,onNotificationVisibilityChanged called
E57,logNotificationVisibilityChanges runInThread over
E58,isSimPinSecure mSimDatas is <*> or <*>
E59,registerCallback not in UI.
E60,android.util.AndroidRuntimeException: Must execute in UI
E61,*** register callback for <*>
E62,*** unregister callback for <*>
E63,[PhoneIntfMgr] getDataEnabled: subId=<*> phoneId=<*>
E64,[PhoneIntfMgr] getDataEnabled: subId=<*> retVal=<*>
E65,"onInterceptTouchEvent MotionEvent { action=<*>, actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>, y[<*>]=<*>, toolType[<*>]=<*>, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=<*>"
E66,playSoundEffect effectType: <*>
E67,"animateCollapsePanels:flags=<*>, force=<*>, delayed=<*>, mExpandedVisible=<*>"
E68,START u0 {act=<*> flg=<*> cmp=<*> (has extras)} from uid <*> on display <*>
E69,"ActivityRecord info: ActivityInfo{<*> <*>}, euid: <*>"
E70,onNotificationClick called
E71,"cancelNotification,index:<*>"
E72,"cancelNotification,cancelNotificationLocked,callingUid = <*>,callingPid = <*>"
E73,"cancelNotificationLocked called,tell the app,reason = <*>"
E74,cancelNotificationLocked:<*>|com.tencent.mobileqq|<*>|null|<*>
E75,"cancelNotificationLocked,remove =<*>"
E76,applyOptionsLocked: Unknown animationType=<*>
E77,"Taking screenshot from Surface with crop:[Rect(<*>)], width:[<*>], height:[<*>], minLayer:[<*>], maxLayer:[<*>], inRotation:[<*>], rot:[<*>]"
E78,removeNotification:<*>|com.tencent.mobileqq|<*>|null|<*>
E79,"updateNotificationShade: total=<*>, active=<*>"
E80,The change in focus caused us to need to do a layout begin
E81,The change in focus caused us to need to do a layout end
E82,setLightsOn(true)
E83,removeNotificationChildren
E84,"Skipping, withExcluded: <*>, tr.intent:Intent { flg=<*> cmp=<*> bnds=[<*>][<*>] }"
E85,"Skipping, withExcluded: <*>, tr.intent:Intent { act=<*> flg=<*> cmp=<*> (has extras) }"
E86,"Skipping, withExcluded: <*>, tr.intent:Intent { flg=<*> cmp=<*> (has extras) }"
E87,"getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>"
E88,getRecentTasks: topActivity=ComponentInfo{com.tencent.mobileqq/com.tencent.mobileqq.activity.SplashActivity}
E89,"cancelNotificationWithTag pid <*>,uid = <*>,tag = <*>,pkg =<*>,id =<*>"
E90,makeExpandedInvisible: mExpandedVisible=<*>
E91,closeQs
E92,instantCollapse
E93,getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output
E94,isMusicActive...
E95,"Start dump, calling from : pid=<*>, uid=<*>"
E96,setWiredDeviceConnectionState type: <*> state: <*>
E97,"ActivityManagerService,attachApplication,callingPid = <*>"
E98,isBluetoothA2dpOn...
E99,isBluetoothScoOn...
E100,getLastAudibleStreamVolume treamType: <*>
E101,getDevicesForStream streamType: <*>
E102,cleanUpApplicationRecord -- <*>
E103,"cleanUpApplicationRecordLocked, pid: <*>, restart: <*>"
E104,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>"
E105,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=<*>
E106,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>
E107,getMode...
E108,setSpeakerphoneOn on: <*>
E109,"sending alarm Alarm{aa90550 type <*> when <*> PendingIntent{<*>: PendingIntentRecord{9600e20 android broadcastIntent}}},repeatInterval = <*>,listenerTag =<*>"
E110,Received TIME_TICK alarm; rescheduling
E111,scheduleTimeTickEvent triggerAtTime = <*>
E112,received broadcast <*>
E113,handleTimeUpdate
E114,"sending alarm Alarm{<*> type <*> when <*> PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}},repeatInterval = <*>,listenerTag =<*>"
E115,Killing <*>:com.android.calendar/u0a13 (adj <*>): empty for <*>
E116,remove(PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}) changed bounds; rebatching
E117,Unable to start service Intent { act=<*> cmp=<*> } U=<*>: not found
E118,unregisterAudioFocusListener...
E119,abandonAudioFocus
E120,"[HSM] stayAwake false uid: <*>, pid: <*>"
E121,Pid:<*> MediaPlayer destructor
E122,Process <*>:qzone (pid <*>) has died
E123,Scheduling restart of crashed service <*> in <*>
E124,"new Process app=ProcessRecord{<*> <*>:com.tencent.mobileqq:qzone/u0a<*>}, name: com.tencent.mobileqq:qzone, euid: <*>"
E125,Start proc <*>:com.tencent.mobileqq:qzone/u0a111 for service <*>
E126,enqueueNotificationInternal: pkg=<*> id=<*> notification=Notification(pri=<*> contentView=<*> vibrate=[<*>] sound=<*> tick defaults=<*> flags=<*> color=<*> vis=PRIVATE)
E127,enqueueNotificationInternal: n.getKey = <*>|<*>|<*>|<*>|<*>
E128,getRingerMode...
E129,addNotification key=<*>|<*>|<*>|<*>|<*>
E130,mHeadsUpExistenceChangedRunnable
E131,Marking notification as seen <*>|<*>|<*>|<*>|<*>
E132,onNotificationExpansionChanged called
