dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.9885,0.888,6.7725,0.95112
Spark,0.9975,0.971,1.125,0.98137
Zookeeper,0.9945,0.986,0.431,0.99479
BGL,0.994,0.949,1.7795,0.98857
HPC,0.9525,0.9435,0.2975,0.99596
Thunderbird,0.897,0.8365,9.628,0.93757
Windows,0.9985,0.613,8.723,0.86344
Linux,0.995,0.9735,0.4165,0.99166
Android,0.9725,0.8215,2.934,0.97293
HealthApp,1.0,0.9945,0.0785,0.99856
Apache,1.0,1.0,0.0,1.0
Proxifier,1.0,1.0,0.0,1.0
OpenSSH,0.996,0.9745,1.07,0.98896
OpenStack,0.968,0.9835,0.328,0.99579
Mac,0.9265,0.552,8.734,0.90028
avg,0.98,0.9054,2.6448,0.97256
