dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.99,0.9665,0.912,0.987
Spark,0.999,0.982,0.1175,0.99816
Zookeeper,0.9945,0.996,0.0955,0.99874
BGL,0.9825,0.973,1.6795,0.98902
HPC,0.9695,0.993,0.069,0.99861
Thunderbird,0.987,0.855,1.9025,0.96427
Windows,0.6915,0.6835,5.6565,0.89626
Linux,0.2985,0.429,4.22,0.92898
Android,0.948,0.7045,5.1275,0.93182
HealthApp,1.0,0.986,0.145,0.99737
Apache,1.0,1.0,0.0,1.0
OpenSSH,0.753,0.805,1.741,0.98317
OpenStack,1.0,0.9765,0.593,0.99147
Mac,0.834,0.606,18.177,0.8815
avg,0.8965,0.8637,2.6957,0.96976
