dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.99,0.886,6.5815,0.95177
Spark,0.9975,0.9715,0.359,0.98892
Zookeeper,0.9945,0.9875,0.4305,0.99467
BGL,0.987,0.941,1.2245,0.98945
HPC,0.9525,0.943,0.335,0.99534
Thunderbird,0.9135,0.854,2.0915,0.95306
Windows,1.0,0.609,8.789,0.86222
Linux,0.998,0.976,0.392,0.99229
Android,0.9705,0.787,4.3055,0.95324
HealthApp,0.9195,0.914,2.588,0.96114
Apache,1.0,0.978,0.23,0.99616
Proxifier,1.0,0.99,0.21,0.99777
OpenSSH,1.0,0.9755,1.061,0.98906
OpenStack,1.0,0.982,0.3585,0.99516
Mac,0.8305,0.528,10.3545,0.87935
avg,0.9721,0.8952,2.4569,0.96872
