dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.987,0.886,6.629,0.95123
Spark,0.9975,0.9715,1.1085,0.98164
Zookeeper,0.9745,0.971,0.4335,0.99297
BGL,0.9775,0.9325,2.0735,0.98304
HPC,0.9525,0.944,0.3455,0.99579
Thunderbird,0.914,0.859,2.16,0.95245
Windows,1.0,0.6085,12.0015,0.79535
Linux,0.996,0.6675,5.346,0.88236
Android,0.8515,0.805,4.1845,0.96098
HealthApp,0.9195,0.9055,2.8515,0.95564
Apache,1.0,0.978,0.23,0.99616
OpenSSH,1.0,0.9755,1.061,0.98906
OpenStack,1.0,0.9925,0.0225,0.99982
Mac,0.824,0.5145,10.3565,0.88291
avg,0.9596,0.8674,3.2536,0.95463
