dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.991,0.958,0.9885,0.98577
Spark,0.999,0.9825,0.096,0.99836
Zookeeper,1.0,0.987,0.1005,0.99856
BGL,0.9825,0.9715,1.6905,0.989
HPC,0.9695,0.9935,0.0665,0.99873
Thunderbird,0.9835,0.913,1.0035,0.98262
Windows,0.6955,0.685,5.6115,0.89671
Linux,0.298,0.4215,4.3035,0.92582
Android,0.9525,0.627,8.251,0.92283
HealthApp,0.998,0.9875,0.1215,0.9978
Apache,1.0,1.0,0.0,1.0
OpenSSH,0.753,0.805,1.741,0.98317
OpenStack,1.0,0.9765,0.593,0.99147
Mac,0.805,0.5615,10.014,0.89214
avg,0.8952,0.858,2.3054,0.97086
