dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.99,0.9635,0.959,0.98661
Spark,1.0,0.982,0.11,0.99806
Zookeeper,0.9945,0.996,0.0955,0.99874
BGL,0.9825,0.9735,1.6705,0.98952
HPC,0.9695,0.9935,0.0665,0.99873
Thunderbird,0.9835,0.891,1.667,0.97357
Windows,0.6915,0.68,5.918,0.8938
Linux,0.2995,0.4325,4.454,0.92639
Android,0.9585,0.724,10.3295,0.93119
HealthApp,1.0,0.9885,0.1045,0.99815
Apache,1.0,1.0,0.0,1.0
OpenSSH,0.753,0.805,1.741,0.98317
OpenStack,1.0,0.468,2.627,0.95235
Mac,0.7975,0.5725,12.1445,0.8906
avg,0.8947,0.8313,2.7925,0.96806
