dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.9885,0.886,6.6035,0.95168
Spark,0.9985,0.9725,1.0615,0.98221
Zookeeper,0.9745,0.9675,0.5735,0.99178
BGL,0.988,0.945,1.855,0.9877
HPC,0.9525,0.9435,0.2985,0.99596
Thunderbird,0.9755,0.867,12.9205,0.95446
Windows,1.0,0.618,11.805,0.79799
Linux,0.5415,0.558,7.139,0.84518
Android,0.8725,0.799,3.8325,0.96416
HealthApp,0.995,0.9895,0.2855,0.99559
Apache,1.0,0.978,0.23,0.99616
Proxifier,1.0,0.9855,0.237,0.99742
OpenSSH,1.0,0.9755,1.061,0.98906
OpenStack,1.0,0.484,3.582,0.93511
Mac,0.811,0.494,11.308,0.86011
avg,0.9436,0.8414,3.9245,0.95278
