dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.9885,0.888,6.575,0.95198
Spark,0.9975,0.9715,1.097,0.98165
Zookeeper,0.9945,0.986,0.443,0.99455
BGL,0.994,0.952,1.002,0.99234
HPC,0.9525,0.943,0.3495,0.99574
Thunderbird,0.8985,0.838,9.608,0.9381
Windows,0.9955,0.6095,8.7875,0.86268
Linux,0.995,0.9745,0.4155,0.99175
Android,0.9625,0.7015,7.2645,0.94696
HealthApp,1.0,0.9955,0.0755,0.99862
Apache,1.0,1.0,0.0,1.0
Proxifier,1.0,1.0,0.0,1.0
OpenSSH,0.996,0.9745,1.07,0.98896
OpenStack,0.968,0.9835,0.328,0.99579
Mac,0.8415,0.547,9.561,0.89431
avg,0.974,0.8978,2.911,0.97084
