dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.9885,0.888,6.5885,0.95175
Spark,0.999,0.9735,1.0405,0.98253
Zookeeper,0.9945,0.987,0.439,0.99461
BGL,0.994,0.9475,1.8085,0.98793
HPC,0.9525,0.9435,0.2905,0.996
Thunderbird,0.897,0.836,9.614,0.93791
Windows,0.9985,0.6095,8.7785,0.86255
Linux,0.995,0.9735,0.4165,0.99167
Android,0.9625,0.8075,3.986,0.96149
HealthApp,0.9195,0.915,2.571,0.96137
Apache,1.0,1.0,0.0,1.0
Proxifier,1.0,1.0,0.0,1.0
OpenSSH,0.996,0.9745,1.07,0.98896
OpenStack,0.968,0.9835,0.328,0.99579
Mac,0.843,0.5435,9.6605,0.89201
avg,0.9692,0.8989,2.912,0.96904
