dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.9885,0.888,6.5815,0.95186
Spark,0.998,0.9725,1.0805,0.98194
Zookeeper,0.9945,0.986,0.44,0.99458
BGL,0.994,0.95,1.1205,0.99216
HPC,0.9525,0.943,0.309,0.9958
Thunderbird,0.8985,0.8385,9.5955,0.93847
Windows,0.9915,0.6205,8.7405,0.86513
Linux,0.995,0.9735,0.4215,0.99166
Android,0.9695,0.8045,3.7345,0.96609
HealthApp,1.0,0.9955,0.0755,0.99862
Apache,1.0,1.0,0.0,1.0
Proxifier,1.0,1.0,0.0,1.0
OpenSSH,0.996,0.9745,1.07,0.98896
OpenStack,0.968,0.9835,0.328,0.99579
Mac,0.834,0.5435,9.475,0.89038
avg,0.9738,0.9046,2.6858,0.97196
