dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.9885,0.892,6.394,0.95311
Spark,0.979,0.9525,1.2185,0.98011
Zookeeper,0.9945,0.9875,0.4305,0.99467
BGL,0.991,0.941,1.239,0.99029
HPC,0.9525,0.9275,0.4805,0.99344
Thunderbird,0.976,0.6015,4.497,0.86555
Windows,1.0,0.608,12.0195,0.7953
Linux,0.9965,0.975,0.455,0.99127
Android,0.9715,0.7105,7.026,0.94809
HealthApp,0.9145,0.9095,2.776,0.95838
Apache,1.0,0.978,0.23,0.99616
OpenSSH,1.0,0.9755,1.061,0.98906
OpenStack,1.0,0.9925,0.0225,0.99982
Mac,0.8005,0.5185,10.934,0.86643
avg,0.971,0.8646,3.2522,0.95478
