dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.9885,0.8865,6.5875,0.95203
Spark,0.9975,0.972,1.094,0.9817
Zookeeper,0.9745,0.9675,0.5735,0.99178
BGL,0.9895,0.9235,2.3005,0.97552
HPC,0.9525,0.9435,0.328,0.99546
Thunderbird,0.8965,0.8335,9.6805,0.93685
Windows,1.0,0.6085,12.0145,0.79541
Linux,0.5405,0.556,7.1465,0.84477
Android,0.865,0.7965,4.181,0.9609
HealthApp,0.8975,0.8915,3.288,0.94785
Apache,1.0,0.978,0.23,0.99616
Proxifier,1.0,0.9855,0.237,0.99742
OpenSSH,1.0,0.9755,1.061,0.98906
OpenStack,1.0,0.4735,3.96,0.92993
Mac,0.811,0.5025,11.318,0.85735
avg,0.9321,0.8309,4.0,0.94701
