EventID,EventTemplate,Occurrence
E1,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",200
E2,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",199
E3,setLightsOn(<*>),181
E4,HBM brightnessIn =<*>,85
E5,HBM brightnessOut =<*>,85
E6,"Animating brightness: target=<*>, rate=<*>",85
E7,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,81
E8,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",69
E9,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",65
E10,updateDimmedActivatedHideSensitive overlap:<*>,65
E11,shouldBlockLocation running ...,37
E12,shouldBlockLocation ret:<*>,37
E13,getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,37
E14,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",33
E15,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",33
E16,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",26
E17,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",26
E18,Destroying surface Surface(name=<*>) called by <*>,25
E19,suspendAutohide,23
E20,"cancelNotification,index:<*>",23
E21,"Skipping, withExcluded: <*>, tr.intent:Intent { flg=<*> cmp=<*> (has extras) }",21
E22,cancelPeek: <*>,20
E23,"cancelNotificationWithTag pid <*>,uid = <*>,tag = <*>,pkg =<*>,id =<*>",20
E24,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",19
E25,querySoundEffectsEnabled...,17
E26,cancelAutohide,15
E27,interceptKeyTq keycode=<*> interactive=<*> keyguardActive=<*> policyFlags=<*> down <*> canceled <*>,14
E28,"interceptKeyBeforeQueueing: key <*> , result : <*>",14
E29,"Skipping, withExcluded: <*>, tr.intent:Intent { flg=<*> cmp=<*> bnds=<*> }",14
E30,"Skipping, withExcluded: <*>, tr.intent:Intent { act=<*> flg=<*> cmp=<*> (has extras) }",14
E31,"getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>",14
E32,getRecentTasks: topActivity=ComponentInfo{<*>},14
E33,"overlapAmount:<*>, previousNotificationEnd:<*>, newYTranslation:<*>, location:<*>, i:<*>, getTopPadding:<*>, getLocationOnScreen():<*>",13
E34,"state.clipTopAmount:<*>, i:<*>",13
E35,"updateNotificationShade: total=<*>, active=<*>",13
E36,removeNotificationChildren,12
E37,closeQs,12
E38,isMusicActive...,12
E39,resumeSuspendedAutohide,10
E40,playSoundEffect effectType: <*>,10
E41,instantCollapse,9
E42,getLastAudibleStreamVolume treamType: <*>,9
E43,"animateCollapsePanels:flags=<*>, force=<*>, delayed=<*>, mExpandedVisible=<*>",8
E44,"Skipping, withExcluded: <*>, tr.intent:Intent { act=<*> dat=<*> flg=<*> cmp=<*> (has extras) }",7
