Content,Tmps,EventTemplate
Created MRAppMaster for application appattempt_1445144423722_0020_000001,"R
e
g
i
s
t
e
r
i
n
g
 
c
l
a
s
s
 
o
r
g
.
a
p
a
c
h
e
.
h
a
d
o
o
p
.
m
a
p
r
e
d
u
c
e
.
{
{
v
a
r
i
a
b
l
e
}
}
 
f
o
r
 
c
l
a
s
s
 
o
r
g
.
a
p
a
c
h
e
.
h
a
d
o
o
p
.
m
a
p
r
e
d
u
c
e
.
{
{
v
a
r
i
a
b
l
e
}
}",Created MRAppMaster for application appattempt_1445144423722_0020_000001
Executing with tokens:,"U
s
i
n
g
 
c
a
l
l
Q
u
e
u
e
 
c
l
a
s
s
 
j
a
v
a
.
u
t
i
l
.
c
o
n
c
u
r
r
e
n
t
.
L
i
n
k
e
d
B
l
o
c
k
i
n
g
Q
u
e
u
e",Executing with tokens:
"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)","K
i
n
d
:
 
Y
A
R
N
_
A
M
_
R
M
_
T
O
K
E
N
,
 
S
e
r
v
i
c
e
:
 
,
 
I
d
e
n
t
:
 
(
a
p
p
A
t
t
e
m
p
t
I
d
 
{
 
a
p
p
l
i
c
a
t
i
o
n
_
i
d
 
{
 
i
d
:
 
2
0
 
c
l
u
s
t
e
r
_
t
i
m
e
s
t
a
m
p
:
 
1
4
4
5
1
4
4
4
2
3
7
2
2
 
}
 
a
t
t
e
m
p
t
I
d
:
 
1
 
}
 
k
e
y
I
d
:
 
-
1
2
7
6
3
3
1
8
8
)","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: -<*>)"
Using mapred newApiCommitter.,"T
a
s
k
A
t
t
e
m
p
t
:
 
[
{
{
v
a
r
i
a
b
l
e
}
}
]
 
u
s
i
n
g
 
c
o
n
t
a
i
n
e
r
I
d
:
 
[
{
{
v
a
r
i
a
b
l
e
}
}
 
o
n
 
N
M
:
 
[
{
{
v
a
r
i
a
b
l
e
}
}
]",Using mapred newApiCommitter.
OutputCommitter set in config null,"O
u
t
p
u
t
C
o
m
m
i
t
t
e
r
 
s
e
t
 
i
n
 
c
o
n
f
i
g
 
n
u
l
l",OutputCommitter set in config <*>
OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,"O
u
t
p
u
t
C
o
m
m
i
t
t
e
r
 
i
s
 
{
{
v
a
r
i
a
b
l
e
}
}",OutputCommitter is <*>
Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,"R
e
g
i
s
t
e
r
i
n
g
 
c
l
a
s
s
 
o
r
g
.
a
p
a
c
h
e
.
h
a
d
o
o
p
.
m
a
p
r
e
d
u
c
e
.
{
{
v
a
r
i
a
b
l
e
}
}
 
f
o
r
 
c
l
a
s
s
 
o
r
g
.
a
p
a
c
h
e
.
h
a
d
o
o
p
.
m
a
p
r
e
d
u
c
e
.
{
{
v
a
r
i
a
b
l
e
}
}",Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,"R
e
g
i
s
t
e
r
i
n
g
 
c
l
a
s
s
 
o
r
g
.
a
p
a
c
h
e
.
h
a
d
o
o
p
.
m
a
p
r
e
d
u
c
e
.
{
{
v
a
r
i
a
b
l
e
}
}
 
f
o
r
 
c
l
a
s
s
 
o
r
g
.
a
p
a
c
h
e
.
h
a
d
o
o
p
.
m
a
p
r
e
d
u
c
e
.
v
2
.
a
p
p
.
M
R
A
p
p
M
a
s
t
e
r
$
J
o
b
E
v
e
n
t
D
i
s
p
a
t
c
h
e
r",Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,"R
e
g
i
s
t
e
r
i
n
g
 
c
l
a
s
s
 
o
r
g
.
a
p
a
c
h
e
.
h
a
d
o
o
p
.
m
a
p
r
e
d
u
c
e
.
{
{
v
a
r
i
a
b
l
e
}
}
 
f
o
r
 
c
l
a
s
s
 
o
r
g
.
a
p
a
c
h
e
.
h
a
d
o
o
p
.
m
a
p
r
e
d
u
c
e
.
v
2
.
a
p
p
.
M
R
A
p
p
M
a
s
t
e
r
$
J
o
b
E
v
e
n
t
D
i
s
p
a
t
c
h
e
r",Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher
