LogMessage,LoggingStatement,LogTemplate,LogTemplate_fromLS
"03-17 16:13:38.811  1702  2395 D WindowManager: printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false
","String message = ""printFreezingDisplayLogsopening app wtoken = %s, allDrawn= %b, startingDisplayed = %b, startingMoved = %b, isRelaunching = %b"";
Log.d(TAG, String.format(message, wtoken, allDrawn, startingDisplayed, startingMoved, isRelaunching));","printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>","printFreezingDisplayLogsopening app wtoken = <*>, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>"
"03-17 16:13:38.819  1702  8671 D PowerManagerService: acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227
","String message = String.format(""acquire lock=%d, flags=0x%x, tag=\""%s\"", name=%s, ws=%s, uid=%d, pid=%d"", lock, flags, tag, name, ws, uid, pid);
Log.d(TAG, message);","acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","acquire lock=<*>, flags=0x<*>, tag=\"
"03-17 16:13:38.820  1702  8671 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0
","Log.d(TAG, ""ready="" + ready + "",policy="" + policy + "",wakefulness="" + wakefulness + "",wksummary="" + Integer.toHexString(wksummary) + "",uasummary="" + Integer.toHexString(uasummary) + "",bootcompleted="" + bootcompleted + "",boostinprogress="" + boostinprogress + "",waitmodeenable="" + waitmodeenable + "",mode="" + mode + "",manual="" + manual + "",auto="" + auto + "",adj="" + adj + ""userId="" + userId);","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",ready=
"03-17 16:13:38.839  1702  2113 V WindowManager: Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide
","String message = ""Skipping AppWindowToken{"" + token + ""} -- going to hide"";
Log.v(TAG, message);",Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,Skipping AppWindowToken{
"03-17 16:13:38.859  2227  2227 D TextView: visible is system.time.showampm
","Log.d(TAG, ""visible is "" + visible);",visible is <*>,visible is 
"03-17 16:13:38.861  2227  2227 D TextView: mVisiblity.getValue is false
","Log.d(TAG, ""mVisiblity.getValue is false"");",mVisiblity.getValue is <*>,mVisiblity.getValue is false
"03-17 16:13:38.869  2227  2227 D TextView: visible is system.charge.show
","Log.d(TAG, ""visible is "" + visible);",visible is <*>,visible is 
"03-17 16:13:38.871  2227  2227 D TextView: mVisiblity.getValue is false
","Log.d(TAG, ""mVisiblity.getValue is false"");",mVisiblity.getValue is <*>,mVisiblity.getValue is false
"03-17 16:13:38.875  2227  2227 D TextView: visible is system.call.count gt 0
","Log.d(TAG, ""visible is system.call.count gt 0"");",visible is <*> gt <*>,visible is system.call.count gt 0
"03-17 16:13:38.877  2227  2227 D TextView: mVisiblity.getValue is false
","Log.d(TAG, ""mVisiblity.getValue is false"");",mVisiblity.getValue is <*>,mVisiblity.getValue is false
"03-17 16:13:38.881  2227  2227 D TextView: visible is system.message.count gt 0
","Log.d(TAG, ""visible is system.message.count gt 0"");",visible is <*> gt <*>,visible is system.message.count gt 0
"03-17 16:13:38.882  2227  2227 D TextView: mVisiblity.getValue is false
","Log.d(TAG, ""mVisiblity.getValue is false"");",mVisiblity.getValue is <*>,mVisiblity.getValue is false
"03-17 16:13:38.887  2227  2227 D TextView: visible is system.ownerinfo.show
","Log.d(TAG, ""visible is "" + visible);",visible is <*>,visible is 
